bus_i;time_series_ID;existing_load
2;1;True
6;2;True
8;3;True
10;4;True
11;5;True
13;6;True
14;7;True
15;11;True
17;15;True
18;16;True
20;18;True
21;21;True
25;25;True
28;26;True
31;27;True
32;28;True
34;29;True
39;30;True
40;31;True
41;32;True
44;33;True
46;36;True
47;38;True
49;39;True
51;40;True
55;42;True
64;43;True
66;44;True
67;45;True
68;46;True
69;47;True
70;49;True
73;50;True
80;51;True
84;53;True
90;54;True
91;56;True
92;58;True
96;63;True
99;64;True
101;65;True
103;66;True
105;68;True
106;69;True
108;71;True
109;72;True
111;73;True
113;74;True
114;76;True
117;77;True
118;81;True
120;82;True
121;83;True
124;84;True
89;9;False
104;12;False
65;17;False
30;20;False
38;24;False
