Døgnvariasjon vinter 2030,Døgnvariasjon sommer 2030
88.873534,79.21159553
87.80211528,77.9781823
87.10789436,77.4577615
86.16854056,76.68358848
85.80627521,76.08747368
86.8181259,77.38514188
91.37028513,79.63548166
97.23447286,80.76598978
100.0333507,79.37988065
100.0293892,72.66091775
98.38909359,61.99466743
95.50851843,56.58982395
93.23507822,54.43885639
92.45946196,53.68385839
92.51525015,54.27479696
93.37140932,56.07338874
97.20744438,63.39132407
101.4209554,73.93296359
103.1885453,82.91513273
103.2254961,86.21350396
102.2727712,86.52392495
100.3664958,86.29585116
97.27282815,85.33350089
93.63584116,84.10195614
90.81289034,82.55320679
89.43241462,81.28240674
88.80711123,80.60194107
88.34421402,79.61849031
87.97012474,79.08358622
88.79268259,80.1552773
92.49855759,82.39937855
98.70604607,83.59793217
101.7140668,81.87558965
101.3021095,74.53986958
98.76829723,63.7043769
95.552192,58.68951794
93.47620057,56.55177465
92.86532707,55.73906474
92.98074382,56.61337639
93.7299724,58.62720692
97.08685432,65.52041454
102.0117797,75.45733125
103.6902132,83.55318284
103.6682688,86.67608718
102.5605292,86.9621754
100.4944659,86.65709727
97.21685038,85.74271944
93.54914441,84.1237466
90.77900625,82.80142265
89.54662343,81.4952542
88.95481894,80.56950687
88.42737452,79.55487637
88.1075848,79.0473375
88.85214505,79.90269076
92.02966801,82.23432769
98.50185624,83.20563643
101.5284482,81.34518865
101.228837,74.25656117
98.88285699,63.79693503
95.97930814,58.33952437
93.52464989,55.99780675
93.00282831,55.38214421
93.09588535,56.21638799
94.03654232,58.1145556
97.54164291,65.43453076
102.3611384,75.91687335
104.3992616,84.36911347
104.3534072,86.7807817
103.0992018,87.10047674
100.8469309,86.72718195
97.7959131,85.90710606
94.11720422,84.58850773
91.46845518,82.93418318
90.15479087,81.25602844
89.54198409,80.32202397
88.89436601,79.51691549
88.51935491,78.69735812
89.24363452,79.73481972
92.66264538,82.16913451
98.56898021,83.29946308
101.215427,80.89697837
100.9690433,73.60716832
98.51993056,63.25448179
95.53556297,58.13333207
93.39957287,55.76611836
92.82805358,55.23881618
92.90255321,56.02501301
93.64805861,58.11162591
97.01876016,65.1188662
101.8198884,75.25985079
103.6879604,83.88094274
103.6286608,87.2335023
102.4902155,87.65282817
100.4479693,87.13941837
97.55886371,86.25928957
94.05732987,85.18553051
91.3331346,83.88085438
89.8250567,82.62125434
89.19292683,81.80656575
88.55609168,80.74172129
88.14823675,80.12659454
88.93811567,81.05829475
92.37885321,83.15216632
98.52674103,84.18014857
101.18278,82.22221863
100.6730435,74.2983184
98.53968051,63.78964473
95.54373883,58.06994454
93.11101987,55.30894255
92.41772483,53.98292287
92.47082616,54.29373457
92.90884162,55.90650153
95.55187748,63.7913259
100.0313669,74.10294958
101.908586,82.50412377
101.4434138,84.68685466
100.0723408,84.90291367
98.40750363,84.6124786
96.34516913,84.02300996
93.8378353,83.13004871
91.47266235,82.12886289
89.1161821,80.58069538
88.09666233,79.26201955
86.76127241,77.20251475
85.4764845,74.47087322
85.39331007,73.88046019
86.17655228,72.71868645
88.27583136,69.35609621
90.22958122,63.78051797
90.98544094,55.03624185
89.8841002,45.13768156
87.85120964,39.20588579
86.64313465,36.64428713
86.01242321,35.36429009
86.11638905,36.06877785
86.61349598,38.59263593
89.13372745,47.77391606
93.1523574,61.08952793
95.31041156,74.68765457
95.06162407,79.17113562
94.19466844,79.31562272
93.21200742,79.03968609
92.11424514,78.38753383
90.48845939,77.82083849
88.81078664,77.06400065
87.11336411,75.69991468
85.63558759,74.25125595
84.03649474,72.15002126
82.71957292,69.03176163
82.50372328,67.90189859
83.3039837,65.45061124
84.26387273,57.8759998
85.5299949,49.6490584
86.18470568,41.55801989
85.93209898,34.67535817
85.30200469,31.82633629
84.43497948,29.89172205
83.96723708,29.35030797
84.29322775,30.17812807
85.01637725,32.79731541
87.6010905,41.31045847
91.86897397,55.94366314
95.253062,73.25053621
95.92006649,82.32851049
95.53072842,84.32880344
94.55457938,84.37318581
93.18145645,83.78852806
91.63653098,82.41454163
