,house_hp_installed_capacity
0,1.4285548862536042
1,2.7721658705574015
2,1.4285548862536042
3,3.1739994184948417
4,1.8962391854990999
5,2.073282674072049
6,4.012485716686814
7,4.625011434187698
8,8.453727505596556
9,4.394758201479227
10,1.6552328848137607
11,1.4550506394238505
12,6.672282383512445
13,0.852072188892195
14,2.116867226101641
15,4.394758201479227
16,6.672282383512445
17,0.8800435746032091
18,0.8800435746032091
19,4.625011434187698
20,5.76668670320929
21,2.817363252176098
22,1.6979539174363265
23,3.0576549292562527
24,5.089335462783185
25,1.9208983723837572
26,1.4172387258373644
27,1.9208983723837572
28,1.2928069348230384
29,0.8562829682979712
30,0.9379703364185913
31,3.2124811043802253
32,6.300366851913527
33,0.3284420543534449
34,0.3284420543534449
35,4.5898893489525605
36,3.8600946994243452
37,1.8962391854990999
38,2.116867226101641
39,3.8600946994243452
40,1.0689262429280249
41,1.8118290288737844
42,1.3048107250695213
43,1.0614964323685026
44,1.7102029732051298
45,0.8562829682979712
46,8.453727505596556
47,3.0576549292562527
48,4.422434087854573
49,1.8118290288737844
50,1.2080950256581866
51,2.7721658705574015
52,1.2433744518165528
53,2.817363252176098
54,6.489690910756181
55,0.5662385692990092
56,1.7594167117261887
57,2.9003061217987782
58,1.4172387258373644
59,1.6979539174363265
60,3.2124811043802253
61,1.9208983723837572
62,1.9166359478900215
63,1.9166359478900215
64,1.8962391854990999
65,0.3284420543534449
66,2.7920947987174074
67,1.4999125865990768
68,2.2490688814675543
69,1.1930742574836326
70,1.8743873623479075
71,2.308581596851398
72,6.066042997528102
73,1.2080950256581866
74,2.0142001780218948
75,0.9081862705467488
76,2.7721658705574015
77,2.433359379136603
78,1.6962699672671302
79,3.49153306567547
80,1.9166359478900215
81,3.0418239490460097
82,2.09848918111931
83,3.111951279422345
84,0.5874449570172853
85,3.8600946994243452
86,1.9208983723837572
87,2.7721658705574015
88,1.5722449708401256
89,1.0550978355891916
90,1.9166359478900215
91,6.489690910756181
92,0.5874449570172853
93,1.1077970966871729
94,1.966946666489931
95,1.0689262429280249
96,2.9003061217987782
97,2.8769252769651774
98,0.5874449570172853
99,4.5898893489525605
